"","logFC","logCPM","PValue","FDR"
"ENSG00000105929",-4.13191553779263,6.19006140358693,3.72953243395222e-55,3.13004462790212e-53
"ENSG00000173452",6.62145640800953,0.00938469881082122,4.62626033765793e-55,3.86671939861459e-53
"ENSG00000148600",5.69378265573843,5.31817748697311,5.69670739602224e-55,4.74198574018276e-53
"ENSG00000166736",6.06652244156195,0.991910848962281,1.50009470730052e-54,1.24361510002792e-52
"ENSG00000150275",-4.2064950859634,0.353270189895756,1.87715809384234e-54,1.54990939942594e-52
"ENSG00000159184",5.98463099547608,1.22872569394014,2.16001269172104e-54,1.77626204979673e-52
"ENSG00000188582",6.38646156327047,0.221119100135767,2.19722275657449e-54,1.79960485532451e-52
"ENSG00000178031",-4.09918334439692,2.66917691792057,3.27151512535745e-54,2.66877117866159e-52
"ENSG00000147614",-4.09123132842838,4.5299345342979,3.42175829980649e-54,2.78021269985074e-52
"ENSG00000125726",5.71286733828374,3.11789480273489,3.92650497126859e-54,3.17766438031951e-52
"ENSG00000140600",-4.16426747681313,0.585017510892184,6.73482663441287e-54,5.42885590443542e-52
"ENSG00000120156",-4.07417189708013,4.9025373476438,8.0400578227323e-54,6.45547004869302e-52
"ENSG00000162763",-4.72967998243634,-2.05087343626504,9.42654808925683e-54,7.53902046009034e-52
"ENSG00000162391",-4.07003907342074,5.07985720019008,9.84024918447032e-54,7.83914226047218e-52
"ENSG00000169495",6.06804337365704,0.715093264463848,1.1791827289138e-53,9.35729672119379e-52
"ENSG00000271850",-4.19345780518298,0.0261838798390526,1.34811909764346e-53,1.06564111927677e-51
"ENSG00000214814",-4.08457206134744,1.31768474628208,1.53098401046426e-53,1.20551690769915e-51
"ENSG00000184226",-4.05424205996722,3.86520287134466,2.52685553129792e-53,1.98202660404961e-51
"ENSG00000243955",-4.04874820290242,7.27046917767879,2.7548635112621e-53,2.15259335052411e-51
"ENSG00000233725",-4.06398727974335,1.53098198608413,3.70577858604137e-53,2.88456673602014e-51
"ENSG00000198074",5.5493149224391,6.59782695058335,4.20068632512973e-53,3.25736870398083e-51
"ENSG00000163531",-4.04146574635694,5.10003609215064,4.31525629022768e-53,3.33353548420088e-51
"ENSG00000134115",5.5477058114874,4.86688358171487,4.57177319295722e-53,3.51836764140262e-51
"ENSG00000187048",-4.01978261224657,6.82769386861526,1.23977975574574e-52,9.5052888491273e-51
"ENSG00000264449",-4.40283137128535,-1.47007723347191,1.88154884393846e-52,1.43716506079704e-50
"ENSG00000010319",-4.00676802793118,4.824193722344,2.63497387718872e-52,2.00513646460398e-50
"ENSG00000102678",-4.00719009853514,3.62274636352929,2.97770263829235e-52,2.25751924183398e-50
"ENSG00000248144",-4.00483088334015,3.79634118820505,3.26603030958163e-52,2.46694156050399e-50
"ENSG00000081248",-4.27663720161886,-1.10200003810919,6.29731750419884e-52,4.73902188858417e-50
"ENSG00000187715",-4.10560808200346,-0.0207016169438229,1.07506628773641e-51,8.06062568827074e-50
"ENSG00000108342",-4.4813467530142,-1.86829955749,2.6271565993326e-51,1.96257258925968e-49
"ENSG00000122756",-4.08250693845583,-0.0298309475348104,3.3298012892504e-51,2.47839297419609e-49
"ENSG00000233392",-4.42116658696724,-1.74570119210886,3.88290418285804e-51,2.87956174200752e-49
"ENSG00000177398",-4.47657361713597,-1.888851022498,4.38714090674877e-51,3.24171563957371e-49
"ENSG00000179593",5.56469309673925,1.87509326264868,4.58857414678399e-51,3.37831700900768e-49
"ENSG00000092607",5.45090139108969,3.28222061207175,5.16398886334823e-51,3.78828736975265e-49
"ENSG00000137766",-4.05887051464893,0.113260630817147,5.63009070543095e-51,4.11541468984081e-49
"ENSG00000148488",-3.99517596282824,1.03551067196118,8.6579896592611e-51,6.3061086111061e-49
"ENSG00000184845",-4.33277997072984,-1.57606165378137,1.18541865791364e-50,8.60335519910702e-49
"ENSG00000145864",-4.04575702598501,0.0594454752330979,1.2940383037347e-50,9.3583748816899e-49
"ENSG00000170231",5.62312706555739,1.24861636882052,1.29925613682933e-50,9.36290800512273e-49
